route_pattern,example_url,page_type,source_file,rendering_mode,indexability_expected,found_status_behavior,canonical_expected,canonical_found,robots_meta_found,x_robots_tag_found,title_found,meta_description_found,h1_found,structured_data_types_found,sitemap_included,sitemap_lastmod,hreflang_found,og_tags_found,primary_content_server_visible,answer_block_found,internal_links_found,image_alt_quality,performance_risk,priority,notes
/,https://www.mothebroker.com,home,app/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com,direct or helper,,,yes,yes,not detected,SpeakableSpecification,yes,2026-04-08T05:12:25.785Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/about,https://www.mothebroker.com/about,marketing,app/about/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/about,direct or helper,,,yes,yes,yes,,no,,yes,not detected,"likely yes, server source",not detected,yes,"1 alt attrs, 0 empty, 0 raw img tags",low,P3,indexable
/about-mo-abdel-orange-county-mortgage-broker,https://www.mothebroker.com/about-mo-abdel-orange-county-mortgage-broker,marketing,app/about-mo-abdel-orange-county-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/about-mo-abdel-orange-county-mortgage-broker,direct or helper,,,yes,yes,yes,Person|Organization|PostalAddress|EducationalOccupationalCredential,no,,yes,not detected,"likely yes, server source",not detected,yes,"1 alt attrs, 0 empty, 0 raw img tags",low,P3,indexable
/admin,https://www.mothebroker.com/admin,admin,app/admin/page.tsx,client component page,noindex or non-indexable,noindex or non-indexable,none or self if served,not detected in file,,,not detected,yes,yes,,no,,not detected,not detected,"verify, client component",not detected,yes,no local image alt detected,client hydration,P3,indexable
/admin/data,https://www.mothebroker.com/admin/data,admin,app/admin/data/page.tsx,client component page,noindex or non-indexable,noindex or non-indexable,none or self if served,not detected in file,,,not detected,not detected,yes,,no,,not detected,not detected,"verify, client component",not detected,yes,no local image alt detected,client hydration,P3,indexable
/admin/weekly-update,https://www.mothebroker.com/admin/weekly-update,admin,app/admin/weekly-update/page.tsx,client component page,noindex or non-indexable,noindex or non-indexable,none or self if served,not detected in file,,,yes,yes,yes,,no,,not detected,not detected,"verify, client component",not detected,yes,no local image alt detected,client hydration,P3,indexable
/api/contact,https://www.mothebroker.com/api/contact,api,app/api/contact/route.ts,route handler,noindex or non-indexable,"route handler, inspect manually",none or self if served,not detected in file,,,not detected,not detected,not detected,,no,,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P3,indexable
/api/debug,https://www.mothebroker.com/api/debug,api,app/api/debug/route.ts,route handler,noindex or non-indexable,"route handler, inspect manually",none or self if served,not detected in file,,,not detected,not detected,not detected,,no,,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P3,indexable
/api/indexnow-key,https://www.mothebroker.com/api/indexnow-key,api,app/api/indexnow-key/route.ts,route handler,noindex or non-indexable,"route handler, inspect manually",none or self if served,not detected in file,,,not detected,not detected,not detected,,no,,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P3,indexable
/api/newsletter,https://www.mothebroker.com/api/newsletter,api,app/api/newsletter/route.ts,route handler,noindex or non-indexable,"route handler, inspect manually",none or self if served,not detected in file,,,not detected,not detected,not detected,,no,,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P3,indexable
