url,clicks_90d,impressions_90d,disposition,redirect_target
/tools/property-tax-estimator/wa/king-county,0,2342,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/wa/king-county/seattle,1,1470,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/wa/king-county/bellevue,0,1399,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/ca/santa-clara-county/san-jose,0,974,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/ca/orange-county/newport-beach,1,691,redirect,__KEEP__
/tools/property-tax-estimator/ca/san-mateo-county/san-mateo,1,660,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/ca/san-francisco-county/san-francisco,0,660,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/ca/marin-county,0,514,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/wa/king-county/sammamish,0,443,redirect,/tools/property-tax-estimator
/blog/home-equity-suburban-king-county-2026,0,402,redirect,/areas/washington
/blog/home-equity-greater-seattle-guide-2026,1,398,redirect,/areas/washington
/blog/wholesale-mortgage-broker-tech-corridor-silicon-valley-2026,0,340,redirect,/areas/california
/tools/property-tax-estimator/wa/king-county/renton,0,339,redirect,/tools/property-tax-estimator
/blog/reverse-mortgage-south-sound-affluent-wa-2026,0,271,410,
/blog/wholesale-mortgage-broker-seattle-eastside-2026,0,256,410,
/tools/property-tax-estimator/ca/santa-clara-county/mountain-view,0,256,410,
/tools/property-tax-estimator/ca/santa-clara-county/palo-alto,1,237,410,
/tools/property-tax-estimator/ca/san-mateo-county/south-san-francisco,0,229,410,
/blog/reverse-mortgage-north-sound-islands-2026,0,220,410,
/blog/reverse-mortgage-greater-seattle-guide-2026,0,193,410,
/tools/property-tax-estimator/ca/marin-county/mill-valley,3,185,410,
/blog/home-equity-premium-east-bay-sf-2026,1,174,410,
/tools/property-tax-estimator/ca/san-mateo-county/daly-city,1,174,410,
/blog/reverse-mortgage-suburban-king-county-2026,1,172,410,
/blog/home-equity-bay-area-peninsula-guide-2026,0,165,410,
/blog/home-equity-urban-seattle-premium-2026,0,164,410,
/tools/property-tax-estimator/wa/king-county/kent,0,157,410,
/tools/property-tax-estimator/ca/santa-clara-county/los-gatos,1,149,410,
/blog/wholesale-mortgage-broker-ultra-luxury-eastside-wa-2026,0,143,410,
/blog/home-equity-south-sound-guide-2026,0,143,410,
/blog/home-equity-premium-silicon-valley-2026,0,142,410,
/blog/home-equity-ultra-luxury-eastside-wa-2026,0,131,410,
/areas/newport-beach-mortgage-broker,0,124,redirect,/blog/newport-beach-mortgage-guide-2026
/blog/home-equity-north-sound-guide-2026,0,122,410,
/tools/property-tax-estimator/wa/king-county/burien,0,108,410,
/tools/property-tax-estimator/wa/king-county/kirkland,0,107,410,
/tools/property-tax-estimator/ca/marin-county/san-rafael,2,105,410,
/tools/property-tax-estimator/ca/los-angeles-county/rancho-palos-verdes,0,102,410,
/blog/wholesale-mortgage-broker-bay-area-peninsula-2026,1,100,410,
/blog/reverse-mortgage-premium-east-bay-sf-2026,0,91,410,
/blog/wholesale-mortgage-broker-coastal-sd-inland-premium-2026,0,90,410,
/blog/wholesale-mortgage-broker-bay-area-guide-2026,1,83,redirect,/blog/wholesale-mortgage-broker-california-guide-2026
/blog/wholesale-mortgage-broker-premium-east-bay-sf-2026,0,78,410,
/blog/reverse-mortgage-seattle-eastside-guide-2026,0,78,410,
/blog/wholesale-mortgage-broker-premium-eastside-wa-2026,0,77,410,
/blog/reverse-mortgage-ultra-luxury-eastside-wa-2026,0,74,410,
/blog/home-equity-premium-eastside-wa-2026,0,73,410,
/blog/wholesale-mortgage-tech-corridor-eastside-wa-2026,0,73,410,
/blog/home-equity-south-sound-affluent-2026,0,73,410,
/blog/home-equity-coastal-sd-inland-premium-2026,0,70,410,
/blog/home-equity-tech-corridor-eastside-wa-2026,0,63,410,
/blog/wholesale-mortgage-broker-premium-silicon-valley-2026,0,61,410,
/blog/home-equity-tech-corridor-silicon-valley-2026,0,58,410,
